id;title;ios_url;ios_app_store_id;ios_app_name;android_url;android_package;android_app_name;windows_phone_url;windows_phone_app_id;windows_phone_app_name;description;google_product_category;product_type;link;image_link;condition;availability;price;sale_price;sale_price_effective_date;gtin;brand;mpn;item_group_id;gender;age_group;color;size;shipping;custom_label_0;quantity
4173;Mini Lace Detail Grey & Rose Gold Mesh - OB16MC56;;;;;;;;;;Jual jam tangan Mini Lace Detail Grey & Rose Gold Mesh - OB16MC56 original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/mini-lace-detail-grey--rose-gold-mesh---ob16mc56;https://www.thewatch.co/img/product/11937/11937_medium.jpg;new;in stock;2075000;2075000;;;Olivia Burton;;;;;;;;;3
4172;Mini White Dial Rose Gold Mesh - OB16MC61;;;;;;;;;;Jual jam tangan Mini White Dial Rose Gold Mesh - OB16MC61 original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/mini-white-dial-rose-gold-mesh---ob16mc61;https://www.thewatch.co/img/product/11932/11932_medium.jpg;new;in stock;2075000;2075000;;;Olivia Burton;;;;;;;;;3
4171;Mini Grey Dial Wonderland Rose Gold Bracelet - OB16MC52;;;;;;;;;;Jual jam tangan Mini Grey Dial Wonderland Rose Gold Bracelet - OB16MC52 original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/mini-grey-dial-wonderland-rose-gold-bracelet---ob16mc52;https://www.thewatch.co/img/product/11929/11929_medium.jpg;new;in stock;2075000;2075000;;;Olivia Burton;;;;;;;;;3
4170;Mini White Dial Wonderland Rose Gold Bracelet - OB16MC51;;;;;;;;;;Jual jam tangan Mini White Dial Wonderland Rose Gold Bracelet - OB16MC51 original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/mini-white-dial-wonderland-rose-gold-bracelet---ob16mc51;https://www.thewatch.co/img/product/11927/11927_medium.jpg;new;in stock;2075000;2075000;;;Olivia Burton;;;;;;;;;2
4169;Mini Grey Dial 3D Bee Rose Gold Mesh - OB16MC54;;;;;;;;;;Jual jam tangan Mini Grey Dial 3D Bee Rose Gold Mesh - OB16MC54 original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/mini-grey-dial-3d-bee-rose-gold-mesh---ob16mc54;https://www.thewatch.co/img/product/11923/11923_medium.jpg;new;in stock;3430000;3430000;;;Olivia Burton;;;;;;;;;3
4168;Mini Blush Dial 3D Bee Rose Gold Bracelet - OB16MC53;;;;;;;;;;Jual jam tangan Mini Blush Dial 3D Bee Rose Gold Bracelet - OB16MC53 original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/mini-blush-dial-3d-bee-rose-gold-bracelet---ob16mc53;https://www.thewatch.co/img/product/11920/11920_medium.jpg;new;in stock;3430000;3430000;;;Olivia Burton;;;;;;;;;3
4167;Singo - Maple;;;;;;;;;;Jual jam tangan Singo - Maple original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/singo---maple;https://www.thewatch.co/img/product/11917/11917_medium.jpg;new;in stock;1580000;1580000;;;Matoa;;;;;;;;;2
4166;Singo - Ebony;;;;;;;;;;Jual jam tangan Singo - Ebony original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/singo---ebony;https://www.thewatch.co/img/product/11914/11914_medium.jpg;new;in stock;1580000;1580000;;;Matoa;;;;;;;;;2
4155;3D Daisy Gift Set - OBGSET70;;;;;;;;;;Jual jam tangan 3D Daisy Gift Set - OBGSET70 original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/3d-daisy-gift-set---obgset70;https://www.thewatch.co/img/product/11888/11888_medium.jpg;new;in stock;3250000;3250000;;;Olivia Burton;;;;;;;;;2
4154;After Dark Big Dial Black IP Mesh & Vintage Bow Gift Set - OBGSET68 ;;;;;;;;;;Jual jam tangan After Dark Big Dial Black IP Mesh & Vintage Bow Gift Set - OBGSET68  original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/after-dark-big-dial-black-ip-mesh--vintage-bow-gift-set-ob15bd83--obj16vbb15;https://www.thewatch.co/img/product/11884/11884_medium.jpg;new;in stock;2400000;2400000;;;Olivia Burton;;;;;;;;;3
4153;GA-100-1A1DR;;;;;;;;;;Jual jam tangan GA-100-1A1DR original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/ga-100-1a1dr;https://www.thewatch.co/img/product/11875/11875_medium.jpg;new;in stock;2030000;2030000;;;Casio;;;;;;;;;2
4150;Khorshid Mini Black Gold 32mm;;;;;;;;;;Jual jam tangan Khorshid Mini Black Gold 32mm original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/khorshid-mini-black-gold;https://www.thewatch.co/img/product/11879/11879_medium.jpg;new;in stock;890000;890000;;;Chpo Watches;;;;;;;;;2
4149;D1 Milano UTLL09 - Vigna;;;;;;;;;;Jual jam tangan D1 Milano UTLL09 - Vigna original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/d1-milano-utll09---vigna;https://www.thewatch.co/img/product/11871/11871_medium.jpg;new;out of stock;3399000;3399000;;;D1 Milano;;;;;;;;;0
4148;D1 Milano UTLL08 - Ulivo;;;;;;;;;;Jual jam tangan D1 Milano UTLL08 - Ulivo original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/d1-milano-utll08---ulivo;https://www.thewatch.co/img/product/11867/11867_medium.jpg;new;in stock;3399000;3399000;;;D1 Milano;;;;;;;;;1
4147;D1 Milano UTLL07 - Dolomia;;;;;;;;;;Jual jam tangan D1 Milano UTLL07 - Dolomia original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/d1-milano---utll07;https://www.thewatch.co/img/product/11864/11864_medium.jpg;new;in stock;3399000;3399000;;;D1 Milano;;;;;;;;;2
4146;D1 Milano UTLJ07 - Freccia ;;;;;;;;;;Jual jam tangan D1 Milano UTLJ07 - Freccia  original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/d1-milano-utlj07---freccia-;https://www.thewatch.co/img/product/11859/11859_medium.jpg;new;in stock;3399000;3399000;;;D1 Milano;;;;;;;;;1
4145;D1 Milano UTLJ06 - Fante;;;;;;;;;;Jual jam tangan D1 Milano UTLJ06 - Fante original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/d1-milano-utlj06---fante;https://www.thewatch.co/img/product/11855/11855_medium.jpg;new;in stock;3399000;3399000;;;D1 Milano;;;;;;;;;2
4144;D1 Milano UTLJ05 - Espresso ;;;;;;;;;;Jual jam tangan D1 Milano UTLJ05 - Espresso  original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/d1-milano-utlj05---espresso-;https://www.thewatch.co/img/product/11851/11851_medium.jpg;new;in stock;3399000;3399000;;;D1 Milano;;;;;;;;;2
4142;Terrazzo Florals Big Dial Pale Rose Gold Mesh - OB16TZ04 38mm;;;;;;;;;;Jual jam tangan Terrazzo Florals Big Dial Pale Rose Gold Mesh - OB16TZ04 38mm original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/terrazzo-florals-big-dial-pale-rose-gold-mesh---ob16tz04-38mm;https://www.thewatch.co/img/product/11847/11847_medium.jpg;new;in stock;2145000;2145000;;;Olivia Burton;;;;;;;;;3
4141;Winter Wonderland Demi Dial Vegan Grey, Rose Gold & Silver - OB16AW02 34mm;;;;;;;;;;Jual jam tangan Winter Wonderland Demi Dial Vegan Grey, Rose Gold & Silver - OB16AW02 34mm original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/winter-wonderland-demi-dial-vegan-grey-rose-gold--silver---ob16aw02-34mm;https://www.thewatch.co/img/product/11844/11844_medium.jpg;new;in stock;2075000;2075000;;;Olivia Burton;;;;;;;;;2
4140;Winter Wonderland Demi Dial Pale Rose Gold Mesh - OB16AW01 34mm;;;;;;;;;;Jual jam tangan Winter Wonderland Demi Dial Pale Rose Gold Mesh - OB16AW01 34mm original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/winter-wonderland-demi-dial-pale-rose-gold-mesh---ob16aw01-34mm;https://www.thewatch.co/img/product/11841/11841_medium.jpg;new;in stock;2575000;2575000;;;Olivia Burton;;;;;;;;;2
4139;Terrazzo Florals Demi Dial Dark Grey, Rose Gold & Silver - OB16TZ05 34mm;;;;;;;;;;Jual jam tangan Terrazzo Florals Demi Dial Dark Grey, Rose Gold & Silver - OB16TZ05 34mm original. Garansi resmi, cicilan 0%, dan gratis ongkos kirim. Beli sekarang!;Apparel & Accessories > Jewelry > Watches;;https://www.thewatch.co/product/terrazzo-florals-demi-dial-dark-grey-rose-gold--silver---ob16tz05-34mm;https://www.thewatch.co/img/product/11838/11838_medium.jpg;new;in stock;2000000;2000000;;;Olivia Burton;;;;;;;;;4
